Rank,Movement,Points,Country,Country Code,Abbreviation,Competitor Last Name,Competitor First Initial
367,0,135,Republic of Korea,KOR,KWON,"Kwon,",S
368,1,135,Slovakia,SVK,KLI,"Klizan,",M
369,-7,134,Brazil,BRA,KIL,Klier,J
370,-6,134,Brazil,BRA,LUZ,"Luz,",O
371,2,133,France,FRA,GEA,"Gea,",A
372,0,133,China,CHN,SUN,"Sun,",F
373,4,133,Italy,ITA,BRA,"Brancaccio,",R
374,5,132,Chile,CHL,SOT,"Soto,",M
375,0,132,Australia,AUS,ELL,"Ellis,",B
376,0,130,Romania,ROU,CRE,"Cretu,",C
377,60,130,Japan,JPN,UCH,"Uchida,",K
378,27,130,Italy,ITA,PIC,"Picchione,",A
379,4,129,Germany,DEU,GER,"Gerch,",L
380,-48,129,Tunisia,TUN,ECH,"Echargui,",M
381,-1,128,Neutral,,HAL,"Haliak,",M
382,-4,128,Romania,ROU,BOI,"Boitan,",G
383,8,126,Argentina,ARG,LIN,Lingua,L
384,4,126,Italy,ITA,GIA,"Giannessi,",A
385,-3,125,France,FRA,WEB,"Weber,",A
386,-2,125,Argentina,ARG,VIL,"Villanueva,",G
387,-2,125,South Africa,ZAF,VAN,van,W
388,20,124,Italy,ITA,GAI,"Gaio,",F
389,-3,124,Turkiye,TUR,CEL,"Celikbilek,",A
390,-3,124,Spain,ESP,SAN,Sanchez,J
391,-2,124,Romania,ROU,ION,"Ionel,",N
392,-2,123,Austria,AUT,SCH,"Schwaerzler,",J
393,1,123,Egypt,EGY,SAF,"Safwat,",M
394,-2,123,Neutral,,SHA,"Sharipov,",M
395,11,122,Argentina,ARG,ABO,"Aboian,",V
396,1,121,Neutral,,TIE,"Tiurnev,",E
397,-1,121,Switzerland,CHE,WEN,"Wenger,",D
398,33,121,Netherlands,NLD,NIJ,"Nijboer,",R
399,2,120,Bolivia,BOL,PRA,Prado,A
400,2,119,France,FRA,DEB,"Debru,",G
401,-2,118,Japan,JPN,NIS,"Nishikori,",K
402,-2,117,Germany,DEU,OTT,"Otte,",O
403,42,116,South Africa,ZAF,HEN,"Henning,",P
404,76,116,France,FRA,CHA,"Chazal,",M
405,-2,115,Italy,ITA,LAV,"Lavagno,",E
406,1,114,Turkiye,TUR,ILK,"Ilkel,",C
407,-12,114,Poland,POL,MIC,"Michalski,",D
408,-27,113,USA,USA,KUM,"Kumar,",O
409,-16,113,Croatia,HRV,SER,"Serdarusic,",N
410,10,113,Netherlands,NLD,HOU,"Houkes,",M
411,1,113,Australia,AUS,DEL,"Dellavedova,",M
412,27,112,Japan,JPN,NAK,"Nakagawa,",N
413,2,111,Japan,JPN,MOR,"Moriya,",H
414,-3,111,Argentina,ARG,MID,"Midon,",L
415,2,110,Neutral,,DON,"Donskoy,",E
416,3,110,Netherlands,NLD,SEL,"Sels,",J
417,4,110,USA,USA,KUZ,"Kuzuhara,",B
418,10,109,Neutral,,BOB,"Bobrov,",B
419,4,109,Estonia,EST,GLI,"Glinka,",D
420,4,108,Lithuania,LTU,BUT,"Butvilas,",E
421,-7,108,USA,USA,JOH,"Johns,",G
422,-12,108,Germany,DEU,HAN,"Handel,",T
423,2,108,Germany,DEU,ROS,"Rosenkranz,",M
424,2,108,Neutral,,GUL,"Gulin,",S
425,2,107,Hungary,HUN,VAL,"Valkusz,",M
426,-4,107,Romania,ROU,COP,"Copil,",M
427,-11,107,USA,USA,KIN,"Kingsley,",C
428,1,107,Neutral,,VAT,"Vatutin,",A
429,-25,107,Italy,ITA,SER,"Serafini,",M
430,0,107,Spain,ESP,MER,"Merida,",D
431,2,107,Germany,DEU,WES,"Wessels,",L
432,6,107,France,FRA,ADD,"Added,",D
433,1,106,Great Britain,GBR,MAT,"Matusevich,",A
434,-25,106,Mexico,MEX,PAC,Pacheco,M
435,-17,106,Brazil,BRA,ALV,"Alves,",M
436,8,106,Dominican Republic,DOM,CID,Cid,S
437,-5,106,Serbia,SRB,POP,"Popovic,",S
438,-68,105,Zimbabwe,ZWE,LOC,"Lock,",B
439,-4,104,Germany,DEU,STO,"Stodder,",T
440,0,104,Canada,CAN,DIE,"Diez,",S
441,0,103,Switzerland,CHE,FEL,"Feldbausch,",K
442,0,103,USA,USA,KOZ,"Kozlov,",S
443,11,102,France,FRA,LOK,"Lokoli,",L
444,-1,102,France,FRA,BOU,"Bouquier,",A
445,-9,102,Slovenia,SVN,ART,"Artnak,",B
446,0,101,Georgia,GEO,BAS,"Basilashvili,",N
447,-34,101,Italy,ITA,FOR,"Forti,",F
448,0,100,Neutral,,IVA,"Ivashka,",I
449,1,100,Belgium,BEL,COL,"Colson,",T
450,1,100,New Zealand,NZL,PAN,"Pannu,",K
451,1,100,Spain,ESP,DAM,"Damas,",M
452,1,100,Germany,DEU,STR,"Strombachs,",R
453,2,99,Germany,DEU,REH,"Rehberg,",M
454,2,99,Mexico,MEX,ESC,"Escobedo,",E
455,-6,99,Germany,DEU,TOP,"ToPo,",M
456,2,99,Turkiye,TUR,ERE,"Erel,",Y
457,9,98,USA,USA,ILA,"Ilagan,",A
458,-1,98,Czechia,CZE,BAR,"Barton,",H
459,13,98,Italy,ITA,ARN,"Arnaboldi,",F
460,42,98,Uruguay,URY,RON,"Roncadelli,",F
461,-1,97,Bulgaria,BGR,NES,"Nesterov,",P
462,-1,96,Australia,AUS,KUB,"Kubler,",J
463,-1,96,Brazil,BRA,SEL,"Sell,",K
464,6,96,France,FRA,PAV,"Pavlovic,",L
465,3,96,Ukraine,UKR,VAN,"Vanshelboim,",E
466,1,95,Italy,ITA,IAN,"Iannaccone,",F
467,2,94,Sweden,SWE,BOR,"Borg,",L
468,3,94,Spain,ESP,MAR,Martin,T
469,-22,94,Greece,GRC,SAK,"Sakellaridis,",S
470,3,93,Neutral,,ZAK,"Zakharov,",A
471,4,93,Neutral,,KAR,"Karlovskiy,",E
472,2,92,Ukraine,UKR,BIE,"Bielinskyi,",V
473,3,92,Argentina,ARG,ROD,"Rodriguez,",L
474,4,91,Great Britain,GBR,SAM,"Samuel,",T
475,-10,91,USA,USA,SEG,"Seggerman,",R
476,3,91,India,IND,MUK,"Mukund,",S
477,9,91,Bulgaria,BGR,MIL,"Milev,",Y
478,-110,90,Sweden,SWE,YME,"Ymer,",M
479,4,90,Great Britain,GBR,EDM,"Edmund,",K
480,4,90,Switzerland,CHE,PAU,"Paul,",J
481,-4,89,Brazil,BRA,ZAN,"Zanellato,",N
482,3,88,China,CHN,YIB,"Wu,",Y
483,4,88,Czechia,CZE,PAL,"Palan,",D
484,4,88,USA,USA,LAN,"Langmo,",C
485,8,88,France,FRA,BIT,Bittoun,K
486,-22,87,Israel,ISR,CUK,"Cukierman,",D
487,2,87,North Macedonia,MKD,IVA,"Ivanovski,",K
488,2,87,Japan,JPN,OCH,"Ochi,",M
489,3,87,Czechia,CZE,GEN,"Gengel,",M
490,6,87,Japan,JPN,TAK,"Takahashi,",Y
491,3,86,Spain,ESP,GIM,Gimeno,V
492,5,85,Croatia,HRV,PEC,"Pecotic,",M
493,5,85,China,CHN,RIG,"TE,",R
